City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,Kochinda,21.7333,84.35,53.44,53,0,2.21,IN,2022-02-05 00:52:27
277,Foumbot,5.5079,10.6356,66.9,40,37,2.44,CM,2022-02-05 00:52:28
278,Huarmey,-10.0681,-78.1522,71.24,82,49,9.1,PE,2022-02-05 00:52:28
279,Kerch,45.3583,36.4758,32.22,67,99,16.98,UA,2022-02-05 00:52:29
280,Namibe,-15.1961,12.1522,71.11,71,14,6.62,AO,2022-02-05 00:52:29
281,Paamiut,61.994,-49.6678,6.89,89,100,8.46,GL,2022-02-05 00:52:30
282,Inongo,-1.95,18.2667,74.08,85,100,0.72,CD,2022-02-05 00:52:30
283,Kushmurun,52.4503,64.6311,18.3,77,100,8.9,KZ,2022-02-05 00:52:30
284,Ponazyrevo,58.3578,46.3142,12.04,91,100,8.23,RU,2022-02-05 00:52:31
285,Arona,28.0996,-16.681,61.75,53,0,1.99,ES,2022-02-05 00:52:31
286,San Ignacio,17.1561,-89.0714,80.74,74,0,6.91,BZ,2022-02-05 00:52:32
287,Manaure,11.7751,-72.4445,77.97,76,0,19.39,CO,2022-02-05 00:52:32
288,Butte,39.6499,-121.5677,60.82,42,0,3.44,US,2022-02-05 00:52:32
289,Nabire,-3.3667,135.4833,84.56,69,100,2.73,ID,2022-02-05 00:52:33
290,Kuli,42.0185,47.2434,23.34,87,93,2.08,RU,2022-02-05 00:52:33
291,Rorvik,64.8621,11.2373,37.89,87,100,34.07,NO,2022-02-05 00:52:33
292,Kahului,20.8947,-156.47,85.26,69,20,14.97,US,2022-02-05 00:52:34
